"","N","Eventos","Latitud","Longitud","MagMin","MagMax","MagMean","a_val","a_sd","b_val","b_sd"
"1",1,6145,16.08,-97.945,3.1,7.5,3.653,7.189,0.139,1.481,0.033
"2",2,3799,14.691,-92.882,3.1,7.2,3.965,5.961,0.21,1.126,0.05
"3",3,2553,19.568,-106.025,3.1,6.9,3.815,5.026,0.07,0.958,0.017
"4",4,4714,18.736,-103.473,3.1,8,3.623,6.502,0.119,1.346,0.028
"5",5,4958,16.295,-95.1,3.1,6.4,3.813,7.55,0.192,1.564,0.046
"6",6,5329,17.098,-100.389,3.1,7.2,3.695,6.896,0.125,1.413,0.03
"7",7,721,24.908,-100.453,3.1,5.7,3.738,7.917,0.329,1.911,0.079
"8",8,1832,26.593,-110.099,3.1,6.6,3.882,5.074,0.105,0.996,0.025
"9",9,1342,19.546,-98.198,3.1,5.5,3.62,7.275,0.183,1.706,0.044
"10",10,3209,31.357,-115.214,3.1,6.4,3.584,6.325,0.157,1.362,0.038
